customer_id,company_name,industry,company_size,country_code,country_name,signup_date,signup_source,is_active,churned_at,churn_reason,nps_score,plan_name,plan_tier,current_sub_status,current_mrr,total_events,total_sessions,avg_session_duration,distinct_features,total_ltv,ticket_count,escalated_tickets,avg_satisfaction,onboarding_steps_completed,is_churned,segment,segment_name,high_engagement,recency_days
1,Rush Platform,E-commerce,small,FR,France,2023-01-31,partner,False,2024-02-26 10:13:36,Outgrew the platform,,Professional Plus,professional,cancelled,44.25,40,34,1567.8,14,1070.6,10.0,0.0,3.3333333333333335,3.0,1,0,At-Risk / Dormant,0,244
2,TrekStack,Manufacturing,small,CA,Canada,2023-06-09,referral,True,,,,Free,free,paused,0.0,33,27,1365.1818181818182,13,411.03,7.0,1.0,5.0,2.0,0,3,Steady Users,0,186
3,Wave Group,Education,enterprise,US,United States,2023-10-28,organic,True,,,,Free,free,active,0.0,40,33,1354.275,13,1546.8799999999999,9.0,1.0,4.0,3.0,0,0,At-Risk / Dormant,0,375
4,KeenSoftware,Technology,large,GB,United Kingdom,2024-04-09,partner,True,,,7.0,Enterprise,enterprise,active,82.5,45,38,1491.6666666666667,13,1189.47,4.0,0.0,4.0,7.0,0,1,Engaged Free/Low-Tier,1,183
5,QuestAnalytics,Logistics,large,US,United States,2023-10-04,partner,True,,,,Starter Plus,starter,active,15.83,45,35,1366.0666666666666,11,1357.87,3.0,0.0,,3.0,0,3,Steady Users,1,190
6,RiftWorks,Insurance,small,GB,United Kingdom,2025-08-23,partner,True,,,,Free,free,paused,0.0,35,29,1411.2285714285715,13,3517.02,5.0,1.0,4.0,6.0,0,2,Steady Users,0,177
7,PeakIO,Telecommunications,large,CA,Canada,2024-08-21,paid_ads,True,,,7.0,Free,free,active,0.0,45,34,1191.7777777777778,14,4624.54,11.0,4.0,4.5,5.0,0,2,Steady Users,1,187
8,Data Systems,Finance,large,US,United States,2024-04-24,organic,True,,,,Free,free,active,0.0,44,38,1509.8863636363637,14,926.74,3.0,0.0,5.0,5.0,0,1,Engaged Free/Low-Tier,1,180
9,Iris Hub,Education,enterprise,SG,Singapore,2025-06-15,paid_ads,True,,,,Free,free,active,0.0,49,39,1617.0816326530612,14,4319.08,6.0,0.0,4.0,3.0,0,2,Steady Users,1,205
10,GlowSystems,Education,enterprise,SG,Singapore,2025-03-08,organic,True,,,,Professional Plus,professional,active,59.0,37,27,1229.8648648648648,14,326.64,5.0,0.0,,2.0,0,1,Engaged Free/Low-Tier,0,174
11,Xenon Cloud,E-commerce,small,GB,United Kingdom,2024-06-29,paid_ads,True,,,7.0,Starter,starter,active,7.5,43,36,1490.8139534883721,14,1269.28,5.0,0.0,2.3333333333333335,2.0,0,1,Engaged Free/Low-Tier,1,184
