ticket_id,customer_id,member_id,category,priority,status,subject,created_at,first_response_at,resolved_at,satisfaction_score,escalated,tags,company_name,is_active,plan_id,plan_tier
1,518,6603.0,data_export,high,open,Account merge request,2025-05-19 03:43:53,,,,True,,HivePlatform,True,3,starter
2,810,,technical,medium,closed,Custom workflow automation broken,2025-09-22 07:22:01,2025-09-25 00:22:01,2025-09-27 07:22:01,4.0,False,"training,onboarding,gdpr",Kite Corp,True,4,professional
3,1080,,onboarding,high,in_progress,Need help with API authentication,2025-10-29 11:11:29,2025-10-29 21:11:29,,,False,integration,KeenLabs,True,1,free
4,1009,,technical,medium,open,Time tracking sync issues,2025-02-03 09:09:03,,,,False,"onboarding,bug,security,integration",LinkDigital,True,2,starter
5,840,,technical,medium,waiting_on_customer,SSO configuration help needed,2024-04-03 13:09:04,2024-04-03 20:09:04,,,False,,ZealDynamics,True,3,starter
6,1186,,feature_request,medium,resolved,Slow loading on project boards,2025-01-10 21:00:19,2025-01-13 08:00:19,2025-01-17 07:00:19,,False,performance,Meta Ventures,True,3,starter
7,490,6234.0,technical,low,open,API rate limiting issues,2025-08-31 23:38:34,,,,False,"integration, gdpr, documentation",ZealLabs,False,7,enterprise
8,294,3951.0,performance,medium,resolved,Export failing for large datasets,2025-09-07 08:38:29,2025-09-09 08:38:29,2025-09-09 22:38:29,,False,enterprise;bug;performance;technical;enterprise,UnitLogic,False,5,professional
9,166,2446.0,account,high,in_progress,Time tracking sync issues,2025-10-14 09:58:39,2025-10-14 21:58:39,,,False,migration;gdpr;security,Zeal Dynamics,True,1,free
10,1132,,security,medium,resolved,Permission settings not saving,2025-05-18 23:21:39,2025-05-20 03:21:39,2025-05-20 14:21:39,2.0,False,gdpr;export,Echo Analytics,True,3,starter
11,775,,technical,low,waiting_on_customer,Cannot downgrade plan,2024-01-22 15:31:34,2024-01-25 15:31:34,,,False,"training , export , onboarding",HubSoftware,True,2,starter
12,394,5019.0,data_export,low,resolved,Need help with API authentication,2025-10-26 20:05:22,2025-10-29 17:05:22,2025-11-05 15:05:22,5.0,False,training,DataStack,True,4,professional
13,396,5055.0,technical,medium,open,Custom workflow automation broken,2025-04-30 23:24:52,,,,False,"enterprise , mobile , urgent , bug",Data Works,True,4,professional
14,1145,,security,high,in_progress,Account merge request,2025-04-21 04:07:44,2025-04-21 07:07:44,,,False,mobile;onboarding;export;migration,QuarkDigital,True,4,professional
15,128,1915.0,billing,medium,waiting_on_customer,Need help with API authentication,2025-03-21 01:28:30,2025-03-21 19:28:30,,,False,training,GlowHub,True,2,starter
16,899,,performance,medium,waiting_on_customer,SSO configuration help needed,2024-05-26 11:44:44,2024-05-26 13:44:44,,,False,,Rift Logic,True,1,free
17,222,3164.0,feature_request,medium,in_progress,Export failing for large datasets,2025-08-03 09:51:49,2025-08-04 00:51:49,,,False,"feature , integration , ux , billing",Beam Tech,True,7,enterprise
18,616,7839.0,account,critical,resolved,Integration with Slack not working,2025-05-21 17:06:41,2025-05-21 18:46:41,2025-05-24 20:46:41,4.0,True,,KiteSolutions,False,7,enterprise
19,425,5400.0,account,medium,resolved,Need to add more team members,2025-09-13 22:02:46,2025-09-16 11:02:46,2025-09-22 17:02:46,,False,feature;documentation;technical,MetaSolutions,True,6,enterprise
20,1175,,technical,critical,open,Data import from CSV failing,2023-07-10 06:50:23,,,,False,"billing , technical , billing",Nexus Studio,True,7,enterprise
21,104,1500.0,integration,high,in_progress,API rate limiting issues,2023-09-19 16:02:06,2023-09-19 22:02:06,,,False,migration,Hive Dynamics,True,4,professional
22,29,579.0,integration,medium,in_progress,Cannot login to dashboard,2025-04-14 13:05:24,2025-04-15 21:05:24,,,False,"sso, integration, training, feature",QuestSystems,True,5,professional
23,173,2548.0,api,medium,in_progress,Integration with Slack not working,2024-12-18 11:43:44,2024-12-19 17:43:44,,,False,api,Rush Hub,False,1,free
24,1003,,technical,high,resolved,API rate limiting issues,2025-01-04 00:55:21,2025-01-04 03:55:21,2025-01-10 01:55:21,3.0,False,"onboarding , export , ux , mobile",LinkWorks,True,3,starter
25,815,,performance,medium,resolved,Duplicate notifications being sent,2023-07-25 12:17:02,2023-07-28 11:17:02,2023-07-29 19:17:02,,False,"api, billing, feature, migration",Echo AI,False,2,starter
26,678,,technical,high,closed,Account merge request,2025-05-21 21:36:36,2025-05-22 03:36:36,2025-05-25 00:36:36,5.0,False,"training , technical , onboarding",QuarkOps,True,3,starter
27,771,,technical,critical,closed,GDPR data export request,2024-03-02 23:05:20,2024-03-03 00:48:20,2024-03-09 09:48:20,4.0,True,,Vertex Net,False,5,professional
28,360,4614.0,billing,high,waiting_on_customer,Slow loading on project boards,2025-03-20 18:30:54,2025-03-20 22:30:54,,,False,onboarding;security;billing,Sync Analytics,True,6,enterprise
29,141,2092.0,billing,medium,in_progress,SSO configuration help needed,2025-07-25 17:40:39,2025-07-27 20:40:39,,,False,,IrisAI,True,5,professional
30,215,3114.0,integration,low,waiting_on_customer,Report generation timeout,2025-01-26 07:19:45,2025-01-27 17:19:45,,,False,sso,ArcSolutions,True,3,starter
31,1089,,account,high,resolved,Feature request: dark mode,2025-01-28 07:21:59,2025-01-28 18:21:59,2025-02-01 15:21:59,5.0,False,sso;enterprise;migration;integration,LinkOps,True,7,enterprise
32,649,8412.0,performance,high,resolved,Report generation timeout,2024-04-12 13:02:43,2024-04-12 18:02:43,2024-04-16 21:02:43,3.0,False,"feature, mobile, training",Arc AI,True,5,professional
33,603,7741.0,api,medium,waiting_on_customer,Cannot login to dashboard,2025-05-14 23:42:39,2025-05-15 09:42:39,,,False,,IonSystems,True,2,starter
34,463,6012.0,billing,critical,closed,Duplicate notifications being sent,2025-10-07 17:34:26,2025-10-07 19:05:26,2025-10-10 00:05:26,5.0,False,"ux, enterprise",IonCorp,True,2,starter
35,1179,,api,low,resolved,Data import from CSV failing,2025-10-02 05:14:31,2025-10-02 21:14:31,2025-10-06 04:14:31,,False,"sso , mobile , integration , technical",HubDigital,True,5,professional
36,933,,security,low,in_progress,Webhook delivery failures,2025-06-25 20:01:22,2025-06-26 03:01:22,,,False,training,HiveGroup,True,2,starter
37,620,7878.0,performance,critical,resolved,Billing discrepancy on latest invoice,2025-05-27 10:31:43,2025-05-27 11:56:43,2025-05-31 07:56:43,,True,gdpr,OrbitSystems,False,3,starter
38,93,1419.0,feature_request,medium,resolved,Data import from CSV failing,2024-08-08 01:49:27,2024-08-09 07:49:27,2024-08-12 10:49:27,4.0,False,api,TrekTech,True,4,professional
39,45,770.0,data_export,low,waiting_on_customer,Audit log access denied,2024-10-03 10:42:03,2024-10-06 09:42:03,,,False,,JadeLabs,True,1,free
40,319,4152.0,onboarding,high,closed,Report generation timeout,2025-01-17 16:38:42,2025-01-17 17:38:42,2025-01-20 17:38:42,,True,"export , bug , enterprise , api",LinkSystems,True,2,starter
41,62,1026.0,billing,low,waiting_on_customer,White label logo not displaying,2025-09-03 13:03:49,2025-09-05 06:03:49,,,False,"security , billing , training , urgent , security",GridDev,True,3,starter
